Name;id_Number;row_Number;seat_Number;auditorium_Number;test_result;score
"Alberta Flint";69702194401291015;41;28;1;False;62
"Alberta Hellinger";56231199001084635;21;56;3;False;81
"Alberta Hornung";18645193208139412;27;5;2;False;71
"Alberta Horton";46411194510246652;39;29;2;False;73
"Alberta Janssen";60059198703172415;56;31;1;NULL;85
"Alberta Meador";61648200701068066;8;35;1;False;84
"Alberta Meyer";25426199311064822;27;8;5;False;85
"Alberta Myers";45160195101188476;20;43;1;NULL;67
"Alberta Osborne";46519197109304553;44;36;3;False;85
"Alberta Ramirez";46984201906158702;6;44;1;NULL;79
"Alberta Reese";35442198612184245;30;10;5;False;66
"Albertina Grudem";70951195603312515;61;41;2;False;72
"Alberto Bright";14109194011122891;6;20;5;NULL;57
"Alberto Ertz";56276196102149358;33;55;5;False;65
"Alberto Potter";82599196703275400;25;17;1;False;55
"Alberto Shows";86554197308081371;27;59;2;False;69
"Alberto Troutman";16890196708165637;58;55;6;False;73
"Alberto Williams";44412193803055322;49;27;3;False;73
"Alda Chon";39158194812152298;3;10;5;False;68
"Alden Hobson";44687196006107838;20;13;4;False;75
"Aleisha Wietzel";43008198112198660;53;42;3;NULL;72
"Alejandra Chapman";14624198412259926;52;12;1;NULL;73
"Alejandro Navarro";41330200507144591;21;36;5;False;73
"Alejandro Ortega";28428198812138627;29;47;3;False;82
"Alena Fox";84510195805026471;56;21;2;False;73
"Alene Alfonso";93083201607114595;21;16;6;False;84
"Alesia Riley";23284196110103202;39;18;1;False;61
"Alethia Cox";40413200104105642;8;31;5;False;84
"Alethia Rollison";55394196610041385;55;8;1;False;74
"Alex Baker";16814196706193705;20;31;6;NULL;77
"Alex Barnes";58134194911183183;40;3;1;False;65
"Alex Hill";99839193906278108;24;44;5;False;68
"Alex Howe";13896200005019975;5;3;2;False;87
"Alex Lindelof";49906196206064667;25;49;3;False;69
"Alex Locke";61694198412038069;52;46;4;False;73
"Alex Maselli";39693200109071001;33;42;4;False;73
"Alex Mecham";80168193708237054;45;45;5;False;73
"Alex Murphy";36454193706112322;46;52;5;NULL;65
"Alex Ricks";52209201101307299;57;8;1;False;81
"Alex Ruivo";96615195906061816;58;46;4;False;74
"Alex Skutt";51777199104294088;29;23;2;False;89
"Alex Smith";45248195910187063;2;41;1;False;82
"Alex Vaughn";62302197004178635;20;50;6;NULL;73
"Alexander Dusek";66290195802027981;28;31;1;NULL;63
"Alexander Gallegos";68539196008288532;12;51;4;False;73
"Alexander Gayton";77002200103283702;14;20;5;False;80
"Alexander Green";24200201001225761;61;21;4;NULL;62
"Alexander Josey";29739199806118951;49;1;3;NULL;73
"Alexander Labranche";56186201706164394;36;37;2;False;73
"Alexander Martinez";91425200003104215;40;28;2;False;92
"Alexander Morgan";42625198906062529;49;60;4;True;78
"Alexander Sanders";73229197305301059;4;28;2;False;75
"Alexander Smith";67720194007017971;8;47;4;True;58
"Alexander Tierney";88386196703271052;5;16;1;NULL;74
"Alexander Wagner";79062197508308270;53;8;2;False;82
"Alexander Wollschlager";48489193606144368;46;29;6;False;67
"Alexandra Hall";93954194409266976;28;53;3;False;69
"Alexandra Katt";49810193503285869;45;54;2;False;60
"Alexandra Mangham";51038201302133656;25;57;3;NULL;83
"Alexandra Palos";24877195602028953;48;40;4;False;66
"Alexandra Santana";74178200606063449;24;15;1;False;84
"Alexandra Williams";34460198909308710;5;25;3;False;83
"Alexis Baker";99498199511265149;3;11;3;False;86
"Alexis Baum";40238195910092965;30;28;2;False;75
"Alexis Johnson";41337194508054582;12;61;4;False;59
"Alexis Windley";15089196509095362;54;36;6;False;74
"Alfonso Sessoms";40809198611025307;15;42;6;False;67
"Alfonzo Driver";30581201903111075;17;61;5;False;73
"Alfred Barnes";76866197907227647;28;58;5;False;80
"Alfred Burgess";24687195107197756;7;16;4;False;68
"Alfred Davis";78679194908038394;31;23;4;False;70
"Alfred Griffin";17563197709145042;22;42;1;False;79
"Alfred Justus";73622201306169839;3;32;6;False;80
"Alfred Mcgrath";18021198705178471;24;2;2;False;72
"Alfred Montgomery";86626195308276293;4;45;1;False;66
"Alfred Potter";28652193410187660;64;29;2;NULL;76
"Alfred Poulin";25228194212279879;23;53;5;False;77
"Alfred Queen";52641201601081771;19;5;3;False;78
"Alfred Singer";27965199701252322;16;37;5;False;82
"Alfred Sonoski";24247199004199528;24;45;4;False;77
"Alfred Stevenson";25154199901036018;20;28;3;False;88
"Alfred Taylor";75216198904091491;4;49;6;NULL;72
"Alfred Viola";84501195204011525;14;53;2;False;64
"Alfred Waldvogel";29521198607056054;1;22;3;False;87
"Alfred Young";25467193108159613;20;47;2;NULL;62
"Alfreda Goetz";79175193406083609;29;55;4;False;73
"Alfredo Johnson";74156201708173739;17;12;3;False;78
"Alfredo Johnson";63205193105229948;35;4;2;False;62
"Ali Dohse";22592197806096685;46;49;6;False;75
"Ali Glory";90236194301315503;3;56;6;NULL;67
"Alice Anderson";68073199912124086;32;19;1;False;73
"Alice Baker";87639194811058750;55;12;4;False;65
"Alice Bambeck";31063197205256840;29;43;1;NULL;78
"Alice Barrientos";57234197802087371;38;42;4;False;77
"Alice Cargle";82130198505126482;41;17;2;True;81
"Alice Dean";35677195607212708;4;36;1;NULL;56
"Alice Dubois";59420198105228360;34;35;2;False;73
"Alice Dukes";54074197706054829;55;45;1;False;59
"Alice Ellis";97275200203223982;22;27;6;False;72
"Alice Elmquist";71482195008077758;4;33;1;False;68
"Alice Fatula";46706193803261477;32;45;5;False;69
"Alice Galinis";36357193112144088;23;44;2;NULL;56
"Alice Holland";14350195503212329;39;9;2;False;73
"Alice Jenkins";11752197210097262;2;25;5;True;77
"Alice Keane";50060201402089583;8;31;6;False;73
"Alice Keith";87156194003043209;38;52;3;NULL;63
"Alice Kelley";53479196104139051;59;56;3;False;82
"Alice Laplante";45428193604191805;44;2;1;False;62
"Alice Lapuerta";91420194206194053;40;27;2;False;64
"Alice Lever";35962199005149661;40;57;3;False;85
"Alice Martinez";89701193008278125;5;56;3;False;54
"Alice Mcbride";13439194406136647;38;16;5;False;59
"Alice Midgett";29289195407196762;47;39;1;NULL;80
"Alice Moreton";70352193010127875;28;4;4;NULL;67
"Alice Nixon";79815194808295994;50;62;2;False;81
"Alice Ortega";60456200311146152;48;6;6;False;68
"Alice Perkins";22295194906061200;36;46;5;False;61
"Alice Reif";53362201508152286;60;21;3;False;74
"Alice Rood";45830193205078878;15;29;6;NULL;52
"Alice Shockley";90196200106308493;31;21;6;NULL;85
"Alice Spina";28990200708318033;44;38;3;False;79
"Alice Storey";95242196412147061;26;24;3;False;66
"Alice Weiss";11026200301137842;7;14;2;False;79
"Alice West";38497198210301626;35;39;6;NULL;74
"Alice Wilson";62891198006063419;13;45;1;False;82
"Alicia Benitez";98291193009024813;11;9;4;False;73
"Alicia Branch";57890196607199770;46;34;2;False;78
"Alicia Brooke";44233193301252666;40;46;5;False;64
"Alicia Coke";17136197410157102;29;56;5;True;87
"Alicia Duguay";71890194210132709;39;47;4;False;73
"Alicia Fernandez";86105195508275256;22;36;6;False;72
"Alicia Fresh";16252194007258139;3;1;6;False;64
"Alicia Harmon";86611195701096356;40;7;4;False;77
"Alicia Larsen";15400198207145854;38;6;3;False;82
"Alicia Murdoch";80718198309096118;10;9;3;False;80
"Alicia Payne";36605201212142807;7;34;6;False;92
"Alicia Scott";47766196711231603;24;16;5;True;73
"Alicia Sloat";20152200410169319;22;30;6;NULL;67
"Alicia Smith";70535201510041833;35;9;6;False;78
"Alicia Starling";87868200712178202;11;9;2;False;76
"Alicia Tanner";36797194605293548;36;17;2;False;61
"Alida Sphon";26945195203076951;56;33;3;False;73
"Alina Carley";40824199405096283;3;38;2;True;83
"Aline Moore";96441195505223626;22;46;6;False;63
"Alisa Stack";42111196401126216;39;38;2;False;73
"Alisa Stinser";47281199607094186;13;7;1;False;86
"Alisha Cleary";51635197705217707;1;5;4;False;74
"Alisha Issa";65589200601013935;8;11;3;NULL;89
"Alisha Mcculley";96433198611152977;15;47;6;True;66
"Alisha Meigs";19837195308077988;27;39;3;NULL;76
"Alison Davis";56250195006232771;22;47;4;False;72
"Alison Sauer";87444197705204017;49;6;2;False;73
"Alison Stewart";92787198509206352;16;29;2;False;81
"Alison Williams";88131197311066966;46;31;3;False;79
"Alissa Deshong";50886200310216175;16;1;5;NULL;90
"Alissa Metts";79628200405196447;39;32;3;True;87
"Alissa Posner";68367197508018691;23;48;6;False;87
"Alix Cox";57525196311111145;23;63;4;False;80
"Allan Allred";21923199606083895;28;36;4;False;85
"Allan Bennett";33474199111112211;19;57;5;False;91
"Allan Daley";56221201902064778;38;30;2;NULL;69
"Allan Lockard";82216200110044029;43;51;2;False;76
"Allan Main";65866194206014643;57;51;6;False;70
"Allan Mcneil";30552198801166146;40;17;4;True;73
"Allan Tecuanhuey";40878197002094486;15;6;3;False;78
"Allen Ali";61755196205119221;61;50;3;False;69
"Allen Belk";34302197610014116;17;36;6;False;88
"Allen Blocker";35058199406057162;1;44;4;False;73
"Allen Crabb";81875196807105480;37;27;2;False;79
"Allen Craig";50718197307023875;27;40;5;False;66
"Allen Custodio";77040201812151081;20;28;1;False;71
"Allen Flood";94565201107187277;38;3;1;NULL;72
"Allen Foster";86497195606291207;53;11;6;False;53
"Allen Gall";82922193103138957;13;50;2;False;65
"Allen Gustin";20097200405266868;60;59;4;False;80
"Allen Haywood";41520195810117662;31;28;4;False;59
"Allen Moses";39502198404225422;56;59;2;NULL;80
"Allen Murray";54943200904159567;32;29;3;False;87
"Allen Plank";16988198301161355;1;30;4;NULL;83
"Allen Sears";38957193206024627;22;56;2;NULL;66
"Allen Sullivan";36151197105223899;30;26;2;False;71
"Allena Flahive";45780194712181234;62;51;4;False;64
"Allene Boggs";21550194907174364;26;54;3;False;78
"Allison Bickel";71258196603141401;22;24;4;False;77
"Allison Cozart";74636196012138716;4;30;1;False;75
"Allison Harris";43332195902223394;26;15;4;False;66
"Allison Kempson";66992200906309333;21;25;2;NULL;91
"Allison Lee";51564196405186047;13;22;3;False;79
"Allison Mitchell";28930195707259672;19;44;6;NULL;63
"Allison Morehead";76388199811215013;24;14;1;False;76
"Allison Picard";28135195611115643;59;20;2;False;76
"Allison Primus";72379196603123690;56;28;6;False;56
"Allison Qualls";90991201609221483;6;57;3;False;58
"Allison Stafford";82043200301173512;47;38;4;False;81
"Allison Wordlaw";64976196308259462;44;38;1;False;74
"Alma Andrews";26214199106241386;54;12;3;False;77
"Alma Bond";66563201205063486;58;39;2;False;74
"Alma Buerger";46986196810186491;30;34;1;False;72
"Alma Cooper";20106197205293142;1;35;2;NULL;60
"Alma Cuevas";26895195506169513;49;29;1;False;65
"Alma Frazer";77040196211258704;51;20;1;NULL;56
"Alma Lorenzo";91496199310283213;47;56;4;False;73
"Alma Muir";71514201908021499;17;37;1;False;71
"Alma Trent";44744195312042395;61;44;4;False;73
"Alonzo Washington";69633196911011593;46;3;2;False;78
"Alphonse Sturges";93796194403111352;32;23;4;False;62
"Alta Huskin";77560194609097466;8;15;4;NULL;71
"Alta Rodriguez";99207194802272444;27;1;4;False;69
"Alta Savage";61678196102182524;34;35;6;False;71
"Althea Ponzi";23111199305295075;10;9;5;False;97
"Alton Litzenberg";25015197904163812;43;50;3;False;83
"Alva England";28887197109237769;51;31;4;False;84
"Alva Henderson";23175193212275596;35;32;4;False;58
"Alvaro Simpson";35757196503153720;18;59;5;NULL;66
"Alvin Bolduc";49535194907191984;48;31;2;False;66
"Alvin Clark";37311193506177165;27;13;5;False;72
"Alvin Harmon";82886198909196400;1;13;2;False;87
"Alvin Higbee";38896195008255189;60;39;6;False;69
"Alvin Leblanc";68483202005175201;19;31;6;NULL;86
"Alvin Mays";76281199906293986;18;59;2;False;75
"Alvin Miceli";77613193808084823;52;9;1;False;73
"Alvin Miller";62688197402087269;14;7;1;False;82
"Alvin Skimehorn";44198196810031436;59;20;3;True;59
"Alvin Smith";58905199809198401;38;15;6;NULL;73
"Alvin Tucker";33036195611263564;14;37;2;False;65
"Alvin Young";54709201502214872;13;29;2;NULL;80
"Alyce Mills";58289197211198976;20;14;1;False;72
"Alysa Crim";96547196403288722;19;32;6;False;87
"Alyssa Allain";64621195605198482;21;44;2;False;62
"Alyssa Blake";22128193611212859;29;37;3;False;61
"Alyssa Colburn";33298193304251630;12;26;3;False;63
"Alyssa Groom";19112198902197521;56;39;2;True;81
"Alyssa Johnson";96635197704197347;20;8;5;False;81
"Alyssa Still";65750193304179036;5;42;6;False;59
"Amal Whitley";91561196602051614;52;34;2;False;68
"Amanda Akers";37021198203102260;45;43;2;NULL;80
"Amanda Anderson";82443200106185722;6;6;4;False;78
"Amanda Barajas";79192201310186778;43;26;5;False;78
"Amanda Belvins";94119199311206798;33;37;1;False;77
"Amanda Brown";31032197307145906;14;36;4;False;54
"Amanda Cleary";84321199212187079;10;30;2;False;91
"Amanda Cohen";67477193704244486;38;41;1;False;66
"Amanda Coker";15458201010277209;39;23;1;False;83
"Amanda Dansby";35753200910115718;60;20;6;False;74
"Amanda Ennenga";44036199510297626;61;19;3;NULL;86
"Amanda Floyd";39816195607078281;15;47;3;False;73
"Amanda Garcia";22582197208305844;3;52;5;False;78
"Amanda Guy";30112196912176098;14;5;3;False;71
"Amanda Isenhart";39644193405084446;26;58;5;False;67
"Amanda Jimenez";95133200408156003;24;18;6;False;76
"Amanda Johnson";88885201304242620;34;45;5;False;75
"Amanda Jordan";11637195506273358;20;19;6;True;73
"Amanda Mandell";52996195507317286;5;16;4;NULL;74
"Amanda Moore";36423196708083149;3;55;4;False;73
"Amanda Patterson";96120198812169759;38;28;1;True;86
"Amanda Rich";19964198806309071;64;51;2;False;82
"Amanda Sarvas";67332199905156304;50;56;5;True;83
"Amanda Sheston";14558193109134661;16;37;1;False;71
"Amanda Smith";71541197306074468;53;31;3;False;79
"Amanda Smith";79758200103037467;22;13;3;NULL;80
"Amanda Steinberg";72011193511076965;45;20;1;False;69
"Amanda Swift";13447198809116746;25;19;5;False;73
"Amanda Thompson";66792193905066256;53;5;6;False;72
"Amanda Wells";62542199612313163;36;1;1;True;73
"Amanda Whitman";84437199609086096;22;20;5;False;81
"Amanda Wolfe";20084196011118388;27;25;6;False;67
"Amanda Wong";57094201811114167;48;6;1;NULL;75
"Amber Beavers";60243198711048294;46;54;6;NULL;84
"Amber Bishop";39565198011121631;16;4;6;True;76
"Amber Bonham";79188198810034670;22;48;3;False;79
"Amber Burns";88395193007144254;44;2;6;False;58
"Amber Childs";58860197902145625;7;10;4;False;83
"Amber Hammond";91682195203255473;43;28;1;False;61
"Amber Johnston";41379193305078694;40;52;2;False;66
"Amber Lara";84692197107138104;10;21;4;False;86
"Amber Mallett";40182196401077670;18;48;3;NULL;81
"Amber Patterson";27250198501258742;19;62;4;False;79
"Amber Porter";32288198908025858;33;41;4;False;81
"Amber Sickler";69662194301189010;8;33;4;False;63
"Amber Stark";27426200011172313;29;40;6;NULL;73
"Amber Williams";79936201706127001;43;23;5;False;73
"Amber Zickefoose";34602199901141721;3;44;5;True;73
"Amelia Bermudez";72693199806015718;12;56;6;False;78
"Amelia Kennedy";74549194310287258;18;7;4;False;73
"America Berg";84439195005191018;7;12;5;True;57
"Amie Cantwell";32030200910257033;29;1;1;False;86
"Amie Harms";60655194411171586;13;32;5;False;64
"Amos Killinger";69353195604148781;6;14;5;False;70
"Amos Oldham";44388196212198059;58;51;3;False;80
"Amy Allen";79934194905219846;33;9;4;False;67
"Amy Baker";66969196212311035;9;20;4;False;79
"Amy Bartholomew";23532201306255862;15;42;4;False;73
"Amy Boock";54264195603268628;31;24;1;True;78
"Amy Boucher";68626196104091129;43;15;4;False;51
"Amy Callahan";45733194409238889;16;15;6;False;56
"Amy Chevalier";43328198312259570;33;10;4;True;62
"Amy Crum";38838201504141604;13;1;4;False;84
"Amy Dales";96916194108197120;9;46;2;False;62
"Amy Douds";29611193312233123;52;35;3;True;71
"Amy Ellis";39160194105218777;34;42;2;False;54
"Amy Frost";62762199009232563;32;38;4;False;82
"Amy Goldberg";88506198606259534;62;41;4;False;78
"Amy Gourley";16139198603027015;5;26;5;False;85
"Amy Green";71081193207313604;57;32;4;False;53
"Amy Guthrie";44304200505095708;33;55;3;NULL;86
"Amy Heer";48854201610151050;6;20;6;False;73
"Amy Jackson";52857196707193646;43;63;4;False;82
"Amy Janssen";99546196903144762;60;25;4;False;74
"Amy Johnson";77981193607098632;57;41;4;False;67
"Amy Jones";39273193003208050;21;6;6;False;67
"Amy Katz";22409196302237247;50;18;5;False;74
"Amy King";10781201201051092;38;33;2;False;82
"Amy Lerma";34911199904149609;38;21;3;False;89
"Amy Lozano";67869200603029230;28;62;4;False;79
"Amy Mansfield";62247196903111593;31;32;1;False;71
"Amy Mudget";70334202004037384;41;5;3;True;77
"Amy Munson";66622201612221429;21;14;2;False;83
"Amy Oneill";74041194307033401;22;51;2;NULL;67
"Amy Otto";60475194407046556;1;3;4;False;67
"Amy Palmer";77057199908023082;4;9;4;False;94
"Amy Poindexter";10779196410233203;20;57;2;NULL;65
"Amy Porter";72434193401141789;60;27;4;False;67
"Amy Quero";84636201002027808;20;25;4;False;83
"Amy Ray";94317193812283401;16;41;3;False;66
"Amy Shape";77754200502075161;8;31;2;False;78
"Amy Steenken";83950195711193913;39;15;6;False;72
"Amy Tardif";97024194610217430;58;8;2;NULL;65
"Amy Torbus";79609198902266869;28;2;5;NULL;73
"Amy Toy";48968196706208546;56;30;6;NULL;73
"Amy Valdez";42909193505083067;7;3;2;False;60
"Amy Watt";14679195907097266;30;20;6;False;76
"Amy Weber";86365199706255746;10;24;6;True;81
"Amy White";88458193205096512;47;24;4;False;68
"Amy Wiley";78753197905166359;40;4;5;False;63
"Amy Wilson";37236193503183994;14;28;1;False;58
"Amy Yanez";48228193204093746;8;27;3;False;66
"Ana Bonin";41641193108263960;24;58;2;False;61
"Ana Cadena";84988200005208040;45;39;1;False;72
"Ana Hall";83268193205031469;41;32;6;NULL;63
"Ana Hernandez";19152201504165520;4;53;5;NULL;88
"Ana Loree";89970194203251247;17;27;1;NULL;55
"Ana Losh";47742196210024762;3;16;2;NULL;79
"Ana May";79798196004197474;40;1;5;NULL;72
"Ana Smalley";71966195611089209;21;12;2;False;67
"Ana Viens";12594197705046103;44;10;4;False;78
"Ana Weber";35294193101198359;45;52;2;False;44
"Anabel Butler";78196201202289470;7;50;5;False;66
"Anastacia Souers";84687193710227363;6;27;2;False;64
"Andera Dodson";82582193008187848;7;33;4;False;67
"Andera Meeker";48686198708175069;28;47;3;NULL;75
"Andera Sullivan";73384194811272313;26;22;1;False;65
