Name,id_Number,ExposureTime
Rene Frenzel,3.94032E+16,28
Alice Lever,3.59622E+16,28
Christina Beck,5.38462E+16,28
Dianne Terra,9.29452E+16,28
Eva Carrasco,6.51752E+16,28
Gladys Murray,5.07192E+16,28
Jana Jackson,2.11322E+16,28
Josephina Martinez,2.88122E+16,28
Joyce Inman,9.97952E+16,28
Larry Neal,9.92122E+16,28
Marie Bullock,3.04692E+16,28
Michael Brown,3.26522E+16,28
Michael Hagood,1.71972E+16,28
Natalie Kopacz,9.84202E+16,28
Ramona Racine,6.46932E+16,28
Russell Nicholson,6.11242E+16,28
Betty Wooten,2.24852E+16,28
Cynthia Odonnell,6.13712E+16,28
Elisha Walton,3.35862E+16,28
Felix Wilde,8.53682E+16,28
Joseph Smith,7.25362E+16,28
Laura Lusane,9.74582E+16,28
Lori Vranicar,9.50582E+16,28
Marsha Dowd,2.96092E+16,28
Amy Katz,2.24092E+16,28
Angela Ebel,1.13642E+16,28
Ashley Espinosa,8.28192E+16,28
David Klatt,8.19232E+16,28
Edwina Baker,2.27892E+16,28
Geoffrey Cline,3.27322E+16,28
Kristi Gill,8.11782E+16,28
Lanie Blair,6.62172E+16,28
Lisa Lin,9.70052E+16,28
Marc Donaldson,2.62382E+16,28
Michael Koh,3.23882E+16,28
Miriam Mesiti,3.03562E+16,28
Ronald Knox,4.62342E+16,28
Susan Benge,3.34162E+16,28
Susan Hamrick,3.70632E+16,28
Wanda Combs,5.48952E+16,28
Ward Miles,3.13512E+16,28
Anthony Latouche,1.47672E+16,28
David Lonergan,2.55012E+16,28
Debra Jackson,5.26912E+16,28
Ella Archibald,2.94192E+16,28
Fred Aleman,1.33262E+16,28
Idella Yoon,4.12542E+16,28
Jose Richie,6.33142E+16,28
Leisha Johnson,3.00852E+16,28
Leon Coffey,9.13272E+16,28
Lynette Osdoba,4.40932E+16,28
Minnie Winsor,8.97092E+16,28
Pauline Kinsey,8.77262E+16,28
Richard Rudnick,3.41882E+16,28
Brooks Lopez,5.07202E+16,27
Dollie Simpson,6.16092E+16,27
Ellen Chavous,1.44092E+16,27
Gail Reeves,8.87752E+16,27
Geraldine Lawyer,3.99472E+16,27
Gina Fields,5.54572E+16,27
Griselda Vance,7.43022E+16,27
Joan Whitley,4.22732E+16,27
John Grisham,9.60052E+16,27
Kathleen Bearden,8.75862E+16,27
Linda Cosgrove,5.31212E+16,27
Lynn Wood,4.16452E+16,27
Mary Sorensen,4.55882E+16,27
Sandra George,6.86752E+16,27
Sarah Torres,3.06582E+16,27
Whitney Gooding,3.04632E+16,27
Allison Picard,2.81352E+16,27
Benjamin Tetreault,3.01132E+16,27
Derek Robinson,2.34522E+16,27
Donald Stoffel,6.62432E+16,27
Elisa Corbitt,7.15162E+16,27
Eugene Peterson,9.78322E+16,27
James Raggio,1.34382E+16,27
Jeffrey Stevens,8.62612E+16,27
Jody Johns,8.65552E+16,27
Joseph Batz,2.23232E+16,27
Megan Altmiller,6.79322E+16,27
Miguel Woodard,9.54822E+16,27
Richard Howell,1.05092E+16,27
Robert Amaya,3.54072E+16,27
Rod Metoyer,3.21972E+16,27
Roger Fox,8.48652E+16,27
Thomas Johnson,7.59822E+16,27
Tiffany Pacheco,2.85712E+16,27
Tracey Matthew,4.58122E+16,27
Andre Cordell,1.27192E+16,27
Bertha Marquez,9.92852E+16,27
Delora Leatherwood,5.64702E+16,27
Henry Robbins,8.59642E+16,27
John Evans,6.92702E+16,27
John Paul,1.60852E+16,27
John Thiel,5.10742E+16,27
Karen Braman,9.12002E+16,27
Kathleen Wiley,3.07382E+16,27
Sara Sutherland,3.12542E+16,27
Stephen Harris,3.78882E+16,27
Yelena Barry,8.93772E+16,27
Yulanda Espinoza,4.86442E+16,27
Caroline Naegeli,3.19822E+16,27
Eunice Sikes,2.19952E+16,27
John Thomas,3.24822E+16,27
Louise Magana,4.91002E+16,27
Melissa Allen,9.96092E+16,27
Roberto Allen,4.82462E+16,27
Shannon Taber,1.04072E+16,27
Arlene Meighan,5.92522E+16,27
Brenda Hobson,3.93262E+16,27
Charlotte Partain,6.34852E+16,27
Darcy Harkrader,7.31732E+16,27
Joan Brown,1.51582E+16,27
Kenneth Kramer,5.75152E+16,27
Kevin Robinson,2.54692E+16,27
Louise Urbanski,4.09612E+16,27
Richard Tippin,2.82372E+16,27
Richard Williams,2.92422E+16,27
Roberto Wellard,4.25312E+16,27
Rosalie Vanness,8.80592E+16,27
Sarah Brewster,7.40242E+16,27
Sung Evans,8.21792E+16,27
Adam Sain,3.22232E+16,27
Brenda Mcneil,6.97152E+16,27
Carl Lewis,6.84362E+16,27
Carmen Arnold,7.99782E+16,27
Donald Kille,6.48492E+16,27
Gregory Thomas,9.51882E+16,27
Jose Pantoja,6.02602E+16,27
Juan Stewart,9.74022E+16,27
Judith Yoshino,6.60722E+16,27
Kathleen Bratchett,6.85722E+16,27
Lucille Chang,2.48472E+16,27
Mary Chesser,6.08412E+16,27
Michael Placko,8.69702E+16,27
Nicholas Vick,2.87332E+16,27
Norman Calderon,8.58362E+16,27
Philip Alvarado,5.53732E+16,27
Richard Walker,8.27392E+16,27
Robert Campos,3.33862E+16,27
Rosa Welch,3.26672E+16,27
Salvador Aleo,4.87362E+16,27
Samuel Schoonover,5.26112E+16,27
Terry Chavez,9.02682E+16,27
Verda Yard,4.08882E+16,27
Virginia Prillaman,7.34262E+16,27
Barbara Parisien,6.17622E+16,26
Bobbi Johnston,8.19132E+16,26
Clark Bechel,9.33762E+16,26
Crystal Brendel,5.63282E+16,26
Darlene Smith,5.47182E+16,26
David Norris,1.60082E+16,26
Douglas Knox,4.46562E+16,26
Ella Weddle,2.11932E+16,26
Guillermo Mccage,8.48082E+16,26
Hazel Morrison,9.34452E+16,26
Jennifer Wolters,7.16132E+16,26
Jessie Buchanan,5.12462E+16,26
Leonard Webb,1.10682E+16,26
Lucia Zumbrunnen,3.84482E+16,26
Marie Brown,4.96742E+16,26
Melvin Gutknecht,1.78802E+16,26
Patty Williams,2.87412E+16,26
Ray Kirk,4.60132E+16,26
Renee Nolan,9.08782E+16,26
Ruth Didonna,3.45962E+16,26
Stanley Desrosiers,7.97842E+16,26
Thomas Estes,8.53532E+16,26
Adam Hendrix,1.26172E+16,26
Becky Villanueva,3.48152E+16,26
Benjamin Maurey,4.02222E+16,26
Candy Mcclenon,2.02692E+16,26
Christie Mast,8.77712E+16,26
Efrain Mills,7.21422E+16,26
Harry Landers,1.89222E+16,26
Horace Wedge,6.42372E+16,26
Isiah Holmes,5.34042E+16,26
Jesse Holmes,1.44552E+16,26
Jimmy Gutierrez,8.55912E+16,26
Kenneth Roberts,5.78012E+16,26
Kimberley Maohu,6.45702E+16,26
Robert Wells,1.86622E+16,26
Walter Beeson,2.34522E+16,26
Wayne Kelly,3.79552E+16,26
Alexandra Mangham,5.10382E+16,26
Bonnie Lostroh,5.89902E+16,26
Frederick Rosas,3.35202E+16,26
Gail Earls,2.97782E+16,26
Gina Smith,6.52592E+16,26
Kari Sullivan,6.42382E+16,26
Kenny Crabtree,6.57502E+16,26
Kurt Dilsaver,4.51522E+16,26
Laura Kennedy,1.48802E+16,26
Louis Urbancic,8.73632E+16,26
Marvin Flynn,4.23602E+16,26
Norman Mcaninch,8.04512E+16,26
Reba Clark,5.48142E+16,26
Vanessa Arp,4.71362E+16,26
Victor Mills,3.87822E+16,26
Brad Cote,9.21622E+16,26
Charles Ford,8.35712E+16,26
Daniel Davis,2.38812E+16,26
Dixie Hyder,6.77892E+16,26
Mary Bender,3.52412E+16,26
Mary David,9.23712E+16,26
Morton Clark,2.15052E+16,26
Paul Palmer,6.97062E+16,26
Roy Mariani,2.01412E+16,26
Thomas Walker,5.64452E+16,26
Wilfredo Mckinney,4.88162E+16,26
Charles Shaver,8.12512E+16,26
Connie Foster,5.01872E+16,26
Cynthia Medina,1.94612E+16,26
David Applewhite,1.50352E+16,26
Diane Cone,7.58082E+16,26
Dorothy Harmon,8.50852E+16,26
Harry Corke,6.06732E+16,26
Joan Frank,2.94482E+16,26
Juanita Bradley,4.83762E+16,26
Judith Griffith,1.18442E+16,26
Lawrence Cho,2.51872E+16,26
Lillian Martinez,6.70042E+16,26
Mary Stanley,8.80592E+16,26
Nathan Whitlock,6.86912E+16,26
Sarah Nichols,3.08092E+16,26
Yolanda Willer,9.49392E+16,26
Alfonso Sessoms,4.08092E+16,26
Alice West,3.84972E+16,26
Brandon Saroop,1.29712E+16,26
David Robotham,1.07152E+16,26
Davis Grant,9.16292E+16,26
Fabian Ludwig,7.00172E+16,26
Francis Lai,2.26462E+16,26
Gail Alves,6.78732E+16,26
Gertrude Laureano,1.47142E+16,26
Gilbert Jones,1.48092E+16,26
Hanh Ayers,1.09722E+16,26
Jefferey Rice,5.64362E+16,26
Jerry Smith,6.87862E+16,26
Joan Hoyt,5.97532E+16,26
Joseph Smiler,9.66932E+16,26
Joseph Wong,5.97522E+16,26
Juana Veale,2.39472E+16,26
Margert Liptak,6.57812E+16,26
Marie Cooper,7.02402E+16,26
Mildred Munch,5.72232E+16,26
Mildred Trinidad,7.14752E+16,26
Nellie Welder,4.87392E+16,26
Reynaldo Henry,1.95802E+16,26
Roger Jones,3.09782E+16,26
Ruby Whiting,7.24222E+16,26
Tyler Camire,2.04962E+16,26
William Ballard,9.33422E+16,26
Anjanette Hampton,8.80952E+16,25
Betty Coppola,5.35042E+16,25
Charles Mantini,8.45402E+16,25
Charlie Simmons,2.29272E+16,25
Danny Dvorak,2.50772E+16,25
Dennis Ennen,3.63282E+16,25
Jacob Roman,2.17752E+16,25
Lawrence Williams,9.45232E+16,25
Roger Moses,8.18902E+16,25
Ruth Whitaker,1.41432E+16,25
Stephen Hernandez,4.53442E+16,25
Susan Bowland,2.05242E+16,25
Viola Hammon,7.06862E+16,25
William Klimczyk,9.04022E+16,25
Adam Crowley,8.40662E+16,25
Craig Noriega,8.03042E+16,25
Debbie Dixon,4.56272E+16,25
Dena Smith,5.21172E+16,25
Denise Randall,7.59812E+16,25
Diane Macpherson,3.72442E+16,25
Earnest Waithe,3.70002E+16,25
Isabel Collado,6.96272E+16,25
Jeannine Gutierrez,3.83812E+16,25
Jennifer Behn,8.18282E+16,25
Jennifer Snyder,8.72232E+16,25
Kathryn Stroud,8.24242E+16,25
Martin Stomberg,3.64832E+16,25
Melvin Macquarrie,6.70312E+16,25
Nathaniel Kay,8.12922E+16,25
Patrick Crafford,3.36352E+16,25
Richard Corriveau,7.28212E+16,25
Robert Knapp,4.99362E+16,25
Robert Lehman,7.90012E+16,25
Susan Leib,6.02192E+16,25
Travis Murphy,9.27512E+16,25
Walter Taylor,8.31052E+16,25
Audrea Babb,9.75752E+16,25
Daniel Escarcega,7.38162E+16,25
Daniel Hicks,4.92032E+16,25
Dorothy Nichol,4.37452E+16,25
Earl Turnbow,4.93062E+16,25
Edwin Jones,9.24922E+16,25
Ellen Broadfoot,2.16802E+16,25
Eric Shaffer,9.32282E+16,25
George Kilberg,9.76962E+16,25
Irene Amick,4.43322E+16,25
Keisha Hernandez,6.57782E+16,25
Kenneth Faith,7.63382E+16,25
Kenneth Moore,3.89922E+16,25
Nakia Brooks,6.83182E+16,25
Norma Gleaton,6.81002E+16,25
Roger Clark,6.16512E+16,25
Viola Nolan,9.20962E+16,25
Virginia Hvizdos,9.71672E+16,25
Betty Corbin,3.23202E+16,25
Brandi Rao,4.63562E+16,25
Candace Norris,9.15232E+16,25
Charles Carrion,4.05932E+16,25
Chris Cluff,5.02842E+16,25
Donald Tracy,2.43812E+16,25
Donnie Guerrero,2.66462E+16,25
Fred Delisa,5.25632E+16,25
James Carmichael,9.82162E+16,25
James Wright,8.52652E+16,25
Jane Mendez,4.30562E+16,25
Jeffrey Leach,1.16532E+16,25
Jessica Moreau,2.56862E+16,25
Kathryn Conway,1.05442E+16,25
Margaret Draper,2.46472E+16,25
Mary Bush,8.93782E+16,25
Michael Christian,6.37832E+16,25
Nathan Broussard,9.98172E+16,25
Regina Koehne,1.13562E+16,25
Sandra Dowdy,9.32942E+16,25
Sherita Bayless,4.34562E+16,25
Tabitha Cao,1.32412E+16,25
Wallace Henkel,5.78412E+16,25
Bessie Thomas,4.62692E+16,25
Brian Turner,8.53562E+16,25
Danny Hart,2.94692E+16,25
Davida Felder,2.23042E+16,25
Dustin Anselmo,4.78942E+16,25
Eugene Zavala,9.75602E+16,25
Gary Muniz,2.89262E+16,25
Gloria Zambrano,1.47762E+16,25
Jamie Young,8.99992E+16,25
Jason Young,6.50362E+16,25
Joe Mcknight,6.26312E+16,25
John Lockridge,4.29522E+16,25
Joseph Kurohara,1.84272E+16,25
Maria Delgado,2.77772E+16,25
May Shoemaker,1.85802E+16,25
Misty Anderson,5.03342E+16,25
Richard Springer,6.60762E+16,25
Rosa Schepker,4.38832E+16,25
Sherman Bachtold,2.17652E+16,25
Suzette Hidalgo,8.85342E+16,25
Toby Jackson,2.47352E+16,25
Todd Ealey,1.99192E+16,25
Wilma Alfaro,7.18222E+16,25
Allison Mitchell,2.89302E+16,25
Arthur Myers,9.02442E+16,25
Brett Walther,5.04882E+16,25
Douglas Rzeszutko,1.85862E+16,25
Fred Swanson,2.73302E+16,25
Gloria Hollins,7.62292E+16,25
Harry Pruden,7.11042E+16,25
Helen Getz,4.87882E+16,25
James Hand,8.07412E+16,25
James Keller,4.99062E+16,25
Jess Ali,1.27622E+16,25
Marissa Halseth,7.09802E+16,25
Michael Almonte,5.59792E+16,25
Michael Mosley,5.88592E+16,25
Pablo Orwig,5.88842E+16,25
Phyllis Norwood,5.81482E+16,25
Rena Benford,8.34092E+16,25
Stella Cornett,9.50362E+16,25
Terry Lawton,8.64952E+16,25
Albert Delgado,2.27652E+16,24
Alice Elmquist,7.14822E+16,24
Amie Cantwell,3.20302E+16,24
Annita Cox,2.64542E+16,24
Carl Gillock,2.61232E+16,24
Christopher Woodby,4.80552E+16,24
Dennis Sanderson,5.57762E+16,24
Elizabeth Bonner,1.30052E+16,24
Elizabeth Conteras,9.97472E+16,24
Jennifer Griffith,8.97612E+16,24
Jordan Sykes,3.52852E+16,24
Joseph Bressette,5.70952E+16,24
Juana Garvey,8.95722E+16,24
Laura Butler,1.01682E+16,24
Lourdes Walker,4.47842E+16,24
Mark Whalen,3.66832E+16,24
Maurice Pew,2.47312E+16,24
Michael Morales,7.95272E+16,24
Peggy Schlarbaum,4.61722E+16,24
Richard Gaddy,1.98152E+16,24
Robert Beltran,2.28242E+16,24
Robert Glenn,5.02262E+16,24
Robert Nadeau,3.15992E+16,24
Rosa Thomas,6.00542E+16,24
Rudolph Santiago,2.17382E+16,24
Sandra Upton,4.39322E+16,24
